time,logger,level,message,exception
2012-01-09 09:26:21.2455,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:21.2455,Raven.Database.Server.HttpServer,Debug,Request #  22: GET     -    56 ms - <default>  - 200 - /docs/rooms/1?noCache=-1151976025,
2012-01-09 09:26:21.2545,Raven.Database.Server.HttpServer,Debug,Request #  23: GET     -    65 ms - <default>  - 200 - /stats?noCache=1523096532,
2012-01-09 09:26:27.2548,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:32.2981,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:37.3524,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:42.4077,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:47.5780,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:47.5780,Raven.Database.Server.HttpServer,Debug,Request #  24: GET     -   113 ms - <default>  - 200 - /docs/rooms/1?noCache=-1972950974,
2012-01-09 09:26:53.5694,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:53.6084,Raven.Database.Server.HttpServer,Debug,Request #  25: GET     -    63 ms - <default>  - 200 - /stats?noCache=765700430,
2012-01-09 09:26:59.6067,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:26:59.6297,Raven.Database.Server.HttpServer,Debug,Request #  26: GET     -    37 ms - <default>  - 200 - /stats?noCache=-1679975688,
2012-01-09 09:27:04.6520,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:09.7043,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:14.7576,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:19.8159,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:24.8721,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:29.9594,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:35.0157,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:40.0670,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:45.1103,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:50.2486,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:27:50.2496,Raven.Database.Server.HttpServer,Debug,Request #  27: GET     -    65 ms - <default>  - 200 - /docs/rooms/1?noCache=-896274176,
2012-01-09 09:27:56.2489,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:28:01.2732,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:28:06.3295,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
2012-01-09 09:28:11.4018,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'rooms/1' was found,
